"filename", "language", "PHP", "JavaScript", "CSS", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\prueba\public_html\biblioteca\VEliBibliotecario.php", "PHP", 30, 0, 0, 0, 0, 16, 46
"c:\xampp\htdocs\prueba\public_html\biblioteca\VEliLector.php", "PHP", 30, 0, 0, 0, 0, 15, 45
"c:\xampp\htdocs\prueba\public_html\biblioteca\VEliLibro.php", "PHP", 36, 0, 0, 0, 0, 23, 59
"c:\xampp\htdocs\prueba\public_html\biblioteca\VModBibliotecario.php", "PHP", 58, 0, 0, 0, 0, 29, 87
"c:\xampp\htdocs\prueba\public_html\biblioteca\VModLector.php", "PHP", 53, 0, 0, 0, 0, 31, 84
"c:\xampp\htdocs\prueba\public_html\biblioteca\VModLibro.php", "PHP", 53, 0, 0, 0, 101, 38, 192
"c:\xampp\htdocs\prueba\public_html\biblioteca\VNueBibliotecario.php", "PHP", 70, 0, 0, 0, 1, 22, 93
"c:\xampp\htdocs\prueba\public_html\biblioteca\VNueLector.php", "PHP", 66, 0, 0, 0, 1, 22, 89
"c:\xampp\htdocs\prueba\public_html\biblioteca\VNueLibro.php", "PHP", 42, 0, 0, 0, 83, 22, 147
"c:\xampp\htdocs\prueba\public_html\biblioteca\VReservarLibros.php", "PHP", 62, 0, 0, 0, 0, 26, 88
"c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibro.php", "PHP", 24, 0, 0, 0, 0, 10, 34
"c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibroReservado.php", "PHP", 24, 0, 0, 0, 0, 14, 38
"c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibroReservadoBi.php", "PHP", 24, 0, 0, 0, 0, 14, 38
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vbibliotecario.php", "PHP", 53, 0, 0, 0, 0, 30, 83
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vinicio.php", "PHP", 47, 0, 0, 0, 0, 16, 63
