Date : 2023-11-08 16:54:19
Directory : c:\xampp\htdocs\prueba\public_html
Total : 101 files,  6581 codes, 672 comments, 2793 blanks, all 10046 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\prueba\public_html\biblioteca\VReservarLibros.php                | PHP        |         62 |          0 |         26 |         88 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibro.php                 | PHP        |         24 |          0 |         10 |         34 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibroReservado.php        | PHP        |         24 |          0 |         14 |         38 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\VRetornarLibroReservadoBi.php      | PHP        |         24 |          0 |         14 |         38 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vbibliotecario.php                 | PHP        |         53 |          0 |         30 |         83 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vinicio.php                        | PHP        |         47 |          0 |         16 |         63 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vlector.php                        | PHP        |         50 |          0 |         16 |         66 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vlibro.php                         | PHP        |         55 |          0 |         32 |         87 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vlibros.php                        | PHP        |         45 |          0 |         28 |         73 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\Vprestamo.php                      | PHP        |        101 |          1 |         52 |        154 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetAutor.css            | CSS        |        138 |          5 |         53 |        196 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetEditorial.css        | CSS        |        138 |          5 |         54 |        197 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetGenero.css           | CSS        |        138 |          5 |         52 |        195 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliBibliotecario.css    | CSS        |         49 |          0 |         14 |         63 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliLector.css           | CSS        |         48 |          0 |         12 |         60 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliLibro.css            | CSS        |         51 |          0 |         13 |         64 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_ModBibliotecario.css    | CSS        |         62 |          0 |         22 |         84 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_ModLector.css           | CSS        |         62 |          0 |         22 |         84 |
